"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","심장장애",전주시,40,39,35,38,41,42,45,46,54,57
"장애유형별","심장장애",군산시,25,26,24,23,24,25,27,26,28,28
"장애유형별","심장장애",익산시,18,16,16,14,12,10,10,10,13,19
"장애유형별","심장장애",정읍시,6,6,5,5,6,4,8,6,7,6
"장애유형별","심장장애",남원시,12,13,16,17,18,18,19,24,28,26
"장애유형별","심장장애",김제시,4,2,1,2,2,4,7,7,9,8
"장애유형별","심장장애",완주군,10,6,7,6,7,8,7,8,11,9
"장애유형별","심장장애",진안군,4,4,5,5,5,4,4,4,8,8
"장애유형별","심장장애",무주군,6,5,4,4,4,3,3,2,3,5
"장애유형별","심장장애",장수군,6,6,6,6,6,9,9,7,8,9
"장애유형별","심장장애",임실군,2,2,2,2,1,1,1,1,1,1
"장애유형별","심장장애",순창군,3,4,4,4,3,3,2,3,3,4
"장애유형별","심장장애",고창군,11,13,14,15,15,17,17,19,20,22
"장애유형별","심장장애",부안군,11,13,15,17,17,16,17,18,18,18
"장애유형별","호흡기",전주시,84,82,82,71,77,74,72,75,81,95
"장애유형별","호흡기",군산시,50,51,53,55,54,58,53,47,51,63
"장애유형별","호흡기",익산시,64,65,67,67,66,71,68,65,66,66
"장애유형별","호흡기",정읍시,30,28,25,26,27,29,26,32,34,33
"장애유형별","호흡기",남원시,14,18,18,17,18,21,22,23,24,23
"장애유형별","호흡기",김제시,19,22,25,25,21,20,20,24,25,34
"장애유형별","호흡기",완주군,26,24,21,22,25,27,28,31,28,36
"장애유형별","호흡기",진안군,9,9,9,9,8,7,7,9,9,8
"장애유형별","호흡기",무주군,5,5,7,7,6,6,5,3,4,8
"장애유형별","호흡기",장수군,8,8,10,6,6,8,10,11,9,12
"장애유형별","호흡기",임실군,4,3,3,4,6,5,8,7,9,10
"장애유형별","호흡기",순창군,10,10,10,10,12,10,10,9,10,11
"장애유형별","호흡기",고창군,18,20,17,19,18,22,18,19,21,21
"장애유형별","호흡기",부안군,7,7,11,17,17,17,16,17,18,15
"장애유형별","간",전주시,175,165,169,161,165,155,137,138,123,117
"장애유형별","간",군산시,68,65,55,60,52,52,46,44,42,40
"장애유형별","간",익산시,66,67,64,58,56,54,50,42,40,34
"장애유형별","간",정읍시,25,23,22,16,16,12,14,13,13,11
"장애유형별","간",남원시,19,18,18,16,15,17,19,14,15,14
"장애유형별","간",김제시,26,24,27,23,21,20,20,14,15,14
"장애유형별","간",완주군,27,25,23,23,21,19,20,17,15,18
"장애유형별","간",진안군,13,10,8,7,8,5,6,5,5,6
"장애유형별","간",무주군,12,13,8,6,8,10,9,8,7,5
"장애유형별","간",장수군,16,16,13,13,12,14,9,8,7,5
"장애유형별","간",임실군,13,13,12,10,11,11,12,9,8,8
"장애유형별","간",순창군,9,11,10,11,9,11,9,9,10,6
"장애유형별","간",고창군,24,23,22,21,18,17,16,11,9,10
"장애유형별","간",부안군,15,16,15,17,11,11,10,11,11,9
"장애유형별","안면",전주시,29,27,29,29,30,30,33,32,33,29
"장애유형별","안면",군산시,20,21,19,19,19,19,18,21,20,20
"장애유형별","안면",익산시,21,20,16,16,18,18,17,18,18,17
"장애유형별","안면",정읍시,12,13,14,13,13,13,13,13,13,13
"장애유형별","안면",남원시,12,12,10,9,9,8,8,7,7,8
"장애유형별","안면",김제시,5,5,6,6,7,7,7,8,7,7
"장애유형별","안면",완주군,6,5,5,3,3,4,3,4,4,4
"장애유형별","안면",진안군,,0,0,0,1,0,,1,1,1
"장애유형별","안면",무주군,,0,0,0,0,0,,,,
"장애유형별","안면",장수군,1,1,0,0,0,0,,,,
"장애유형별","안면",임실군,,0,0,1,1,2,1,1,1,1
"장애유형별","안면",순창군,3,3,3,3,3,3,3,2,2,3
"장애유형별","안면",고창군,10,10,10,10,9,8,9,9,9,9
"장애유형별","안면",부안군,5,6,3,2,2,2,2,2,2,3
"장애유형별","장루요루",전주시,180,169,148,158,156,140,140,140,137,134
"장애유형별","장루요루",군산시,98,93,86,85,85,84,74,71,78,71
"장애유형별","장루요루",익산시,122,118,106,104,103,104,97,103,99,95
"장애유형별","장루요루",정읍시,59,55,56,53,53,50,49,49,54,48
"장애유형별","장루요루",남원시,25,24,22,24,23,25,20,22,26,28
"장애유형별","장루요루",김제시,40,39,35,32,29,33,31,33,36,37
"장애유형별","장루요루",완주군,32,31,33,32,35,39,39,38,34,32
"장애유형별","장루요루",진안군,21,18,16,15,18,15,11,13,11,12
"장애유형별","장루요루",무주군,13,13,9,7,8,6,8,10,12,12
"장애유형별","장루요루",장수군,9,9,10,13,13,10,13,12,12,12
"장애유형별","장루요루",임실군,14,12,11,12,15,13,11,13,14,16
"장애유형별","장루요루",순창군,10,11,10,11,10,9,9,7,10,13
"장애유형별","장루요루",고창군,22,22,20,20,25,25,29,26,25,25
"장애유형별","장루요루",부안군,31,29,30,31,28,26,25,22,24,22
"장애유형별","뇌전증",전주시,117,120,117,113,113,115,118,115,125,132
"장애유형별","뇌전증",군산시,50,53,57,53,51,48,50,55,53,51
"장애유형별","뇌전증",익산시,59,56,55,62,65,66,62,57,60,61
