"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","언어장애",군위군,14,14,15,14,14,12,12,12,13,15
"장애유형","언어장애",의성군,28,33,32,36,37,41,43,42,45,46
"장애유형","언어장애",청송군,13,13,13,13,12,13,13,12,14,11
"장애유형","언어장애",영양군,8,8,9,8,9,9,9,8,9,9
"장애유형","언어장애",영덕군,19,21,22,23,20,19,21,24,25,27
"장애유형","언어장애",청도군,33,29,31,34,31,29,28,29,27,27
"장애유형","언어장애",고령군,14,14,14,19,20,23,25,25,25,24
"장애유형","언어장애",성주군,32,31,28,35,36,35,31,31,26,26
"장애유형","언어장애",칠곡군,72,70,65,57,52,59,60,55,58,52
"장애유형","언어장애",예천군,30,27,27,23,26,27,22,20,22,20
"장애유형","언어장애",봉화군,20,20,18,15,15,17,14,16,18,20
"장애유형","언어장애",울진군,21,20,20,17,19,19,22,22,24,27
"장애유형","언어장애",울릉군,2,3,3,4,2,2,2,3,5,3
"장애유형","지적장애",포항시,2336,2291,2252,2211,2119,2075,1987,1973,1915,1882
"장애유형","지적장애",경주시,1403,1382,1340,1319,1267,1222,1187,1162,1126,1111
"장애유형","지적장애",김천시,1025,1017,1026,1030,1017,996,1001,977,932,905
"장애유형","지적장애",안동시,1498,1486,1476,1464,1419,1399,1384,1357,1342,1338
"장애유형","지적장애",구미시,1940,1860,1831,1804,1738,1669,1599,1546,1505,1439
"장애유형","지적장애",영주시,837,809,795,789,746,730,716,692,677,661
"장애유형","지적장애",영천시,819,814,789,774,759,726,711,690,667,638
"장애유형","지적장애",상주시,788,780,758,750,741,749,739,724,695,680
"장애유형","지적장애",문경시,484,476,473,473,472,465,463,454,454,428
"장애유형","지적장애",경산시,1742,1731,1695,1684,1655,1604,1591,1565,1513,1465
"장애유형","지적장애",군위군,211,206,208,209,202,194,188,194,202,192
"장애유형","지적장애",의성군,490,486,497,489,482,473,462,438,444,445
"장애유형","지적장애",청송군,175,176,180,179,187,179,175,176,179,177
"장애유형","지적장애",영양군,165,168,167,162,164,167,166,155,155,139
"장애유형","지적장애",영덕군,239,243,249,246,244,241,238,236,225,229
"장애유형","지적장애",청도군,330,314,314,314,309,314,315,306,308,307
"장애유형","지적장애",고령군,286,281,277,267,265,256,253,250,244,240
"장애유형","지적장애",성주군,354,359,357,364,362,360,357,349,355,350
"장애유형","지적장애",칠곡군,751,711,668,646,612,589,559,541,529,494
"장애유형","지적장애",예천군,434,437,431,428,425,415,405,404,404,407
"장애유형","지적장애",봉화군,245,240,250,243,249,241,235,236,242,240
"장애유형","지적장애",울진군,363,358,362,370,363,353,346,343,334,306
"장애유형","지적장애",울릉군,28,26,28,27,30,32,29,29,29,31
"장애유형","자폐성장애",포항시,351,315,296,281,262,238,222,210,188,166
"장애유형","자폐성장애",경주시,108,92,78,71,71,67,66,68,66,62
"장애유형","자폐성장애",김천시,96,87,79,68,59,54,47,44,40,35
"장애유형","자폐성장애",안동시,123,105,101,89,84,81,70,61,57,52
"장애유형","자폐성장애",구미시,320,284,257,254,250,220,202,180,167,144
"장애유형","자폐성장애",영주시,60,51,44,39,34,34,30,30,26,24
"장애유형","자폐성장애",영천시,51,50,44,34,33,31,27,22,21,19
"장애유형","자폐성장애",상주시,58,54,43,34,31,29,28,22,16,15
"장애유형","자폐성장애",문경시,49,46,36,36,36,35,35,30,23,22
"장애유형","자폐성장애",경산시,149,131,124,119,109,99,93,84,80,76
"장애유형","자폐성장애",군위군,13,12,11,12,12,12,13,14,12,10
"장애유형","자폐성장애",의성군,16,15,15,15,13,13,12,11,11,9
"장애유형","자폐성장애",청송군,2,3,2,3,3,3,3,3,5,7
"장애유형","자폐성장애",영양군,9,8,7,7,8,7,7,7,8,8
"장애유형","자폐성장애",영덕군,13,14,10,7,8,7,6,5,5,4
"장애유형","자폐성장애",청도군,17,15,14,11,9,9,10,6,4,6
"장애유형","자폐성장애",고령군,5,4,4,6,6,5,5,5,4,3
"장애유형","자폐성장애",성주군,19,21,15,14,13,12,13,13,10,8
"장애유형","자폐성장애",칠곡군,71,57,52,44,45,35,35,31,27,21
"장애유형","자폐성장애",예천군,30,21,18,14,11,9,8,5,4,5
"장애유형","자폐성장애",봉화군,13,12,9,8,10,11,10,9,7,4
"장애유형","자폐성장애",울진군,27,24,23,20,18,17,13,13,12,9
"장애유형","자폐성장애",울릉군,2,2,2,2,1,1,1,1,-,-
"장애유형","정신장애",포항시,1001,989,977,982,968,955,943,925,890,880
"장애유형","정신장애",경주시,605,615,603,600,599,587,579,574,580,574
"장애유형","정신장애",김천시,585,591,587,586,586,597,591,550,516,506
"장애유형","정신장애",안동시,796,802,784,781,789,786,802,785,781,766
"장애유형","정신장애",구미시,619,629,622,616,612,601,575,554,538,523
"장애유형","정신장애",영주시,432,436,434,433,424,426,420,403,394,397
"장애유형","정신장애",영천시,433,432,423,423,423,422,423,424,415,403
