"장애인등록현황별(1)","장애인등록현황별(2)",시군별(1),시군별(2),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","시각장애",북부,가평군,395,397,399,402,414,414,416,423,414,422,420
"장애유형","청각장애",남부,수원시,6680,6366,6014,5584,5201,4588,,,,,
"장애유형","청각장애",남부,성남시,6338,6124,5802,5481,5110,4463,,,,,
"장애유형","청각장애",남부,안양시,3510,3292,3059,2875,2672,2341,,,,,
"장애유형","청각장애",남부,부천시,6353,6109,5754,5352,5021,4626,,,,,
"장애유형","청각장애",남부,광명시,1827,1826,1785,1749,1758,1618,,,,,
"장애유형","청각장애",남부,평택시,3656,3633,3530,3356,3063,2716,,,,,
"장애유형","청각장애",남부,안산시,4710,4617,4364,4182,3908,3426,,,,,
"장애유형","청각장애",남부,과천시,450,430,387,325,298,285,,,,,
"장애유형","청각장애",남부,오산시,1188,1126,1105,1071,1017,906,,,,,
"장애유형","청각장애",남부,시흥시,3353,3200,3001,2778,2567,2214,,,,,
"장애유형","청각장애",남부,군포시,2161,2048,1933,1836,1694,1467,,,,,
"장애유형","청각장애",남부,의왕시,1122,1058,1023,984,866,690,,,,,
"장애유형","청각장애",남부,하남시,1937,1859,1752,1579,1447,1238,,,,,
"장애유형","청각장애",남부,용인시,6304,6079,5775,5413,4832,4166,,,,,
"장애유형","청각장애",남부,이천시,1440,1444,1433,1380,1262,1186,,,,,
"장애유형","청각장애",남부,안성시,1694,1698,1678,1688,1631,1513,,,,,
"장애유형","청각장애",남부,김포시,2683,2635,2574,2472,2279,2011,,,,,
"장애유형","청각장애",남부,화성시,4577,4426,4203,3863,3447,2697,,,,,
"장애유형","청각장애",남부,광주시,2535,2435,2301,2093,1927,1719,,,,,
"장애유형","청각장애",남부,여주시,949,938,899,867,846,829,,,,,
"장애유형","청각장애",남부,양평군,1220,1181,1148,1051,968,867,,,,,
"장애유형","청각장애",북부,의정부시,3378,3330,3129,2974,2713,2447,,,,,
"장애유형","청각장애",북부,동두천시,931,933,885,852,816,761,,,,,
"장애유형","청각장애",북부,고양시,6552,6503,6311,6059,5645,5038,,,,,
"장애유형","청각장애",북부,구리시,1159,1169,1177,1149,1109,1015,,,,,
"장애유형","청각장애",북부,남양주시,4531,4508,4328,4051,3777,3397,,,,,
"장애유형","청각장애",북부,파주시,3363,3300,3145,2939,2711,2429,,,,,
"장애유형","청각장애",북부,양주시,1889,1755,1622,1485,1360,1232,,,,,
"장애유형","청각장애",북부,포천시,1329,1357,1339,1275,1197,1074,,,,,
"장애유형","청각장애",북부,연천군,504,504,495,506,495,451,,,,,
"장애유형","청각장애",북부,가평군,795,807,786,773,751,692,,,,,
"장애유형","언어장애",남부,수원시,407,444,448,429,426,377,,,,,
"장애유형","언어장애",남부,성남시,293,324,331,331,328,330,,,,,
"장애유형","언어장애",남부,안양시,181,191,179,176,159,143,,,,,
"장애유형","언어장애",남부,부천시,337,360,358,337,336,319,,,,,
"장애유형","언어장애",남부,광명시,103,113,127,120,132,133,,,,,
"장애유형","언어장애",남부,평택시,232,227,216,209,185,164,,,,,
"장애유형","언어장애",남부,안산시,297,303,300,291,270,245,,,,,
"장애유형","언어장애",남부,과천시,13,16,16,13,9,12,,,,,
"장애유형","언어장애",남부,오산시,102,103,98,90,84,76,,,,,
"장애유형","언어장애",남부,시흥시,212,228,233,216,194,176,,,,,
"장애유형","언어장애",남부,군포시,96,102,118,113,107,96,,,,,
"장애유형","언어장애",남부,의왕시,41,46,52,52,40,37,,,,,
"장애유형","언어장애",남부,하남시,106,115,112,102,92,86,,,,,
"장애유형","언어장애",남부,용인시,328,348,349,328,277,252,,,,,
"장애유형","언어장애",남부,이천시,95,93,97,93,82,84,,,,,
"장애유형","언어장애",남부,안성시,83,83,92,88,90,90,,,,,
"장애유형","언어장애",남부,김포시,185,184,181,158,125,110,,,,,
"장애유형","언어장애",남부,화성시,343,359,354,333,282,248,,,,,
"장애유형","언어장애",남부,광주시,162,175,168,159,137,131,,,,,
"장애유형","언어장애",남부,여주시,62,58,56,58,64,59,,,,,
"장애유형","언어장애",남부,양평군,77,82,80,69,65,64,,,,,
"장애유형","언어장애",북부,의정부시,178,181,174,169,146,147,,,,,
"장애유형","언어장애",북부,동두천시,56,52,51,48,42,48,,,,,
"장애유형","언어장애",북부,고양시,389,411,394,376,358,352,,,,,
"장애유형","언어장애",북부,구리시,73,73,78,72,78,78,,,,,
"장애유형","언어장애",북부,남양주시,298,309,310,308,292,260,,,,,
"장애유형","언어장애",북부,파주시,213,227,216,202,186,175,,,,,
"장애유형","언어장애",북부,양주시,132,128,120,108,100,103,,,,,
"장애유형","언어장애",북부,포천시,70,69,67,70,71,75,,,,,
"장애유형","언어장애",북부,연천군,21,21,18,17,17,16,,,,,
"장애유형","언어장애",북부,가평군,32,37,37,33,34,31,,,,,
"장애유형","청각·언어",남부,수원시,,,,,,,4449,4181,3896,3883,3833
"장애유형","청각·언어",남부,성남시,,,,,,,4027,3673,3383,3410,3441
"장애유형","청각·언어",남부,안양시,,,,,,,2286,2213,2098,2142,2209
"장애유형","청각·언어",남부,부천시,,,,,,,4351,3951,3595,3614,3708
"장애유형","청각·언어",남부,광명시,,,,,,,1601,1508,1429,1408,1457
"장애유형","청각·언어",남부,평택시,,,,,,,2543,2330,2201,2228,2226
"장애유형","청각·언어",남부,안산시,,,,,,,3222,3064,2940,2988,3004
"장애유형","청각·언어",남부,과천시,,,,,,,256,272,264,266,269
"장애유형","청각·언어",남부,오산시,,,,,,,910,855,811,814,796
"장애유형","청각·언어",남부,시흥시,,,,,,,1918,1678,1548,1589,1621
"장애유형","청각·언어",남부,군포시,,,,,,,1434,1379,1296,1310,1321
"장애유형","청각·언어",남부,의왕시,,,,,,,666,607,571,607,611
"장애유형","청각·언어",남부,하남시,,,,,,,1032,928,743,700,690
"장애유형","청각·언어",남부,용인시,,,,,,,3865,3499,3153,3159,3121
"장애유형","청각·언어",남부,이천시,,,,,,,1199,1166,1145,1187,1243
"장애유형","청각·언어",남부,안성시,,,,,,,1498,1262,1146,1161,1168
"장애유형","청각·언어",남부,김포시,,,,,,,1819,1533,1396,1390,1351
"장애유형","청각·언어",남부,화성시,,,,,,,2476,2224,2031,1927,1932
"장애유형","청각·언어",남부,광주시,,,,,,,1614,1461,1292,1230,1175
"장애유형","청각·언어",남부,여주시,,,,,,,833,803,777,790,816
"장애유형","청각·언어",남부,양평군,,,,,,,864,789,744,724,730
"장애유형","청각·언어",북부,의정부시,,,,,,,2288,2073,1906,1891,1901
"장애유형","청각·언어",북부,동두천시,,,,,,,715,661,570,560,547
"장애유형","청각·언어",북부,고양시,,,,,,,4858,4452,3949,3883,3883
"장애유형","청각·언어",북부,구리시,,,,,,,1025,884,753,748,766
"장애유형","청각·언어",북부,남양주시,,,,,,,3274,2950,2665,2599,2523
"장애유형","청각·언어",북부,파주시,,,,,,,2345,2153,1956,1958,1932
"장애유형","청각·언어",북부,양주시,,,,,,,1172,1007,934,922,923
"장애유형","청각·언어",북부,포천시,,,,,,,1024,965,883,885,893
"장애유형","청각·언어",북부,연천군,,,,,,,434,402,366,366,368
"장애유형","청각·언어",북부,가평군,,,,,,,623,531,500,500,513
"장애유형","지적장애",남부,수원시,3613,3519,3443,3332,3249,3159,3059,2945,2829,2696,2606
"장애유형","지적장애",남부,성남시,2939,2927,2881,2860,2823,2774,2724,2685,2578,2527,2466
"장애유형","지적장애",남부,안양시,1542,1505,1478,1465,1476,1484,1411,1391,1340,1277,1290
"장애유형","지적장애",남부,부천시,3022,2947,2889,2818,2767,2681,2593,2488,2399,2337,2207
"장애유형","지적장애",남부,광명시,973,976,962,947,951,962,938,918,930,890,869
"장애유형","지적장애",남부,평택시,2346,2269,2181,2069,1985,1872,1796,1719,1654,1570,1495
"장애유형","지적장애",남부,안산시,2907,2845,2778,2728,2647,2575,2517,2423,2355,2302,2230
"장애유형","지적장애",남부,과천시,175,173,172,158,143,147,139,139,132,129,122
"장애유형","지적장애",남부,오산시,896,878,886,894,846,819,751,728,689,663,640
"장애유형","지적장애",남부,시흥시,1766,1707,1643,1562,1482,1382,1288,1203,1136,1104,1073
"장애유형","지적장애",남부,군포시,811,799,790,787,759,725,696,673,645,628,600
"장애유형","지적장애",남부,의왕시,467,458,449,443,423,400,386,377,366,366,350
"장애유형","지적장애",남부,하남시,864,852,825,760,731,684,613,557,478,429,422
"장애유형","지적장애",남부,용인시,2961,2912,2853,2775,2677,2553,2434,2296,2217,2103,1962
"장애유형","지적장애",남부,이천시,1278,1273,1247,1216,1211,1166,1138,1112,1092,1060,1035
"장애유형","지적장애",남부,안성시,1213,1190,1165,1136,1088,1056,1025,993,932,896,877
"장애유형","지적장애",남부,김포시,1520,1440,1397,1336,1266,1212,1145,1092,1020,973,930
"장애유형","지적장애",남부,화성시,2691,2563,2434,2305,2184,1991,1856,1715,1602,1506,1433
"장애유형","지적장애",남부,광주시,1643,1617,1560,1500,1443,1395,1307,1239,1189,1110,1049
"장애유형","지적장애",남부,여주시,909,870,859,820,788,783,774,777,716,678,683
"장애유형","지적장애",남부,양평군,962,950,930,891,859,853,827,821,792,771,738
"장애유형","지적장애",북부,의정부시,1732,1671,1611,1551,1497,1423,1357,1300,1258,1188,1151
"장애유형","지적장애",북부,동두천시,573,564,572,550,537,513,490,464,420,409,402
"장애유형","지적장애",북부,고양시,3397,3334,3283,3248,3192,3097,3024,2956,2896,2779,2647
"장애유형","지적장애",북부,구리시,676,656,673,658,653,628,609,602,554,531,519
"장애유형","지적장애",북부,남양주시,2593,2537,2451,2354,2297,2175,2127,2046,1984,1909,1782
"장애유형","지적장애",북부,파주시,2012,1958,1870,1773,1693,1611,1542,1478,1391,1342,1316
"장애유형","지적장애",북부,양주시,1196,1114,1078,1050,1012,970,919,852,819,798,760
"장애유형","지적장애",북부,포천시,1047,1046,1026,1003,967,952,927,887,861,834,792
"장애유형","지적장애",북부,연천군,282,279,273,268,262,263,244,237,281,277,268
"장애유형","지적장애",북부,가평군,606,619,636,626,634,628,633,629,648,626,617
"장애유형","자폐성장애",남부,수원시,1016,887,783,729,674,624,577,523,481,447,407
"장애유형","자폐성장애",남부,성남시,888,797,735,672,635,596,556,513,487,436,394
"장애유형","자폐성장애",남부,안양시,465,395,358,336,331,316,297,280,264,256,240
"장애유형","자폐성장애",남부,부천시,676,595,543,513,484,448,426,398,370,348,324
"장애유형","자폐성장애",남부,광명시,228,203,189,174,175,166,164,154,142,128,120
"장애유형","자폐성장애",남부,평택시,355,282,244,205,169,151,128,115,105,94,89
"장애유형","자폐성장애",남부,안산시,454,412,363,332,311,297,284,267,235,221,216
"장애유형","자폐성장애",남부,과천시,99,90,76,63,55,55,51,53,60,53,44
"장애유형","자폐성장애",남부,오산시,157,139,126,122,100,89,73,61,53,50,41
"장애유형","자폐성장애",남부,시흥시,370,301,259,217,190,164,146,130,116,107,97
"장애유형","자폐성장애",남부,군포시,239,205,184,173,160,161,150,131,131,125,107
"장애유형","자폐성장애",남부,의왕시,156,131,123,110,103,93,80,83,69,63,57
"장애유형","자폐성장애",남부,하남시,309,258,222,187,152,132,101,97,77,68,61
