"현황별(1)","현황별(2)",시군별(1),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","안면",태백시,3,3,3,3,3,3,3,3,3,3,3
"장애유형별","안면",속초시,5,5,6,4,4,4,5,5,5,4,4
"장애유형별","안면",삼척시,5,5,4,2,2,2,2,2,2,3,3
"장애유형별","안면",홍천군,5,5,5,5,5,4,3,3,3,3,4
"장애유형별","안면",횡성군,4,4,4,5,5,5,5,5,5,5,5
"장애유형별","안면",영월군,2,2,2,2,2,2,2,2,3,3,3
"장애유형별","안면",평창군,3,3,3,3,3,3,3,3,2,2,2
"장애유형별","안면",정선군,4,4,3,4,5,3,4,4,4,4,4
"장애유형별","안면",철원군,3,2,2,2,2,3,2,2,1,1,1
"장애유형별","안면",화천군,3,3,3,3,3,2,2,2,2,3,3
"장애유형별","안면",양구군,1,1,1,1,1,1,1,1,1,1,1
"장애유형별","안면",인제군,3,3,2,2,2,3,2,2,2,2,1
"장애유형별","안면",고성군,2,2,2,3,3,3,3,4,3,2,2
"장애유형별","안면",양양군,2,2,2,2,2,2,2,2,2,2,2
"장애유형별","장루,요루",춘천시,115,115,110,105,104,110,108,102,102,102,99
"장애유형별","장루,요루",원주시,110,117,108,100,99,97,88,87,93,95,88
"장애유형별","장루,요루",강릉시,90,90,85,84,80,79,77,73,72,73,69
"장애유형별","장루,요루",동해시,51,50,42,37,34,30,27,24,23,27,22
"장애유형별","장루,요루",태백시,23,18,19,22,23,21,23,20,21,19,14
"장애유형별","장루,요루",속초시,38,37,39,38,45,36,38,35,36,34,36
"장애유형별","장루,요루",삼척시,34,28,29,32,29,28,28,28,26,25,26
"장애유형별","장루,요루",홍천군,50,45,47,49,47,48,49,45,43,41,40
"장애유형별","장루,요루",횡성군,34,32,34,37,33,30,32,35,34,32,28
"장애유형별","장루,요루",영월군,23,25,22,27,27,25,26,23,21,23,21
"장애유형별","장루,요루",평창군,26,28,23,24,22,22,18,17,17,21,21
"장애유형별","장루,요루",정선군,11,8,11,14,13,13,16,17,13,11,9
"장애유형별","장루,요루",철원군,22,19,18,21,16,17,14,14,15,17,20
"장애유형별","장루,요루",화천군,13,13,14,13,12,10,9,8,8,10,13
"장애유형별","장루,요루",양구군,12,14,13,11,11,8,8,9,11,10,10
"장애유형별","장루,요루",인제군,16,18,15,16,17,17,22,22,20,21,18
"장애유형별","장루,요루",고성군,14,15,14,12,12,15,17,14,11,10,13
"장애유형별","장루,요루",양양군,24,22,26,28,31,33,28,21,18,16,17
"장애유형별","뇌전증",춘천시,35,39,40,42,37,41,41,43,43,38,48
"장애유형별","뇌전증",원주시,53,52,53,55,54,57,53,56,58,60,62
"장애유형별","뇌전증",강릉시,29,31,27,29,29,32,32,31,30,31,37
"장애유형별","뇌전증",동해시,13,10,10,11,12,10,9,11,12,12,10
"장애유형별","뇌전증",태백시,7,8,9,11,11,10,9,9,5,6,7
"장애유형별","뇌전증",속초시,15,14,13,12,11,11,12,13,14,15,13
"장애유형별","뇌전증",삼척시,14,14,14,16,18,18,18,17,16,13,13
"장애유형별","뇌전증",홍천군,15,17,16,17,18,17,18,21,22,20,17
"장애유형별","뇌전증",횡성군,5,8,6,4,6,7,7,8,10,8,9
"장애유형별","뇌전증",영월군,5,5,4,5,4,8,8,11,9,8,7
"장애유형별","뇌전증",평창군,2,2,1,1,1,1,2,3,3,5,5
"장애유형별","뇌전증",정선군,5,5,5,4,4,4,2,2,2,4,7
"장애유형별","뇌전증",철원군,4,3,3,3,4,4,5,6,8,9,8
"장애유형별","뇌전증",화천군,2,2,2,3,3,3,3,4,3,3,3
"장애유형별","뇌전증",양구군,3,3,4,5,4,4,4,5,5,6,7
"장애유형별","뇌전증",인제군,4,3,3,3,3,4,4,6,6,5,5
"장애유형별","뇌전증",고성군,4,4,4,4,4,5,5,5,6,6,7
"장애유형별","뇌전증",양양군,7,8,8,9,8,6,6,6,6,6,6
