"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","지적",거창군,449,443,426,427,382,420,404,402,392,387,382,368
"장애유형별","지적",합천군,385,393,398,399,382,403,397,402,404,393,397,385
"장애유형별","뇌병변",창원시,4764,4818,4969,5004,4570,5054,5136,5109,5067,5073,5100,5184
"장애유형별","뇌병변",진주시,1634,1655,1705,1712,1618,1707,1700,1711,1712,1718,1710,1765
"장애유형별","뇌병변",통영시,641,658,697,703,779,718,703,688,690,691,698,684
"장애유형별","뇌병변",사천시,549,571,592,616,685,627,626,610,631,633,627,640
"장애유형별","뇌병변",김해시,2281,2297,2386,2389,2191,2351,2345,2294,2184,2178,2197,2195
"장애유형별","뇌병변",밀양시,727,747,762,777,775,801,807,808,803,799,818,856
"장애유형별","뇌병변",거제시,885,903,903,911,947,925,937,929,905,902,877,860
"장애유형별","뇌병변",양산시,1698,1721,1740,1768,1566,1769,1765,1689,1581,1515,1471,1401
"장애유형별","뇌병변",의령군,226,234,236,240,265,266,270,275,268,266,270,285
"장애유형별","뇌병변",함안군,425,435,454,462,428,482,489,501,482,487,492,478
"장애유형별","뇌병변",창녕군,436,445,474,482,451,531,543,521,525,537,538,535
"장애유형별","뇌병변",고성군,321,329,353,340,408,358,369,375,376,385,390,393
"장애유형별","뇌병변",남해군,329,334,346,365,395,389,389,410,408,418,422,443
"장애유형별","뇌병변",하동군,280,294,305,324,426,336,348,347,347,370,388,405
"장애유형별","뇌병변",산청군,247,266,301,302,292,310,299,317,305,297,296,301
"장애유형별","뇌병변",함양군,229,235,250,242,335,263,273,286,296,294,317,313
"장애유형별","뇌병변",거창군,374,378,388,380,431,397,402,409,430,431,415,416
"장애유형별","뇌병변",합천군,302,318,332,362,409,400,423,435,423,442,459,467
"장애유형별","자폐성",창원시,1074,977,867,771,702,649,597,545,493,468,422,391
"장애유형별","자폐성",진주시,326,302,260,227,218,193,164,152,144,142,133,128
"장애유형별","자폐성",통영시,104,96,78,75,70,62,49,43,37,25,21,20
"장애유형별","자폐성",사천시,102,93,79,65,58,44,41,39,35,34,29,24
"장애유형별","자폐성",김해시,615,569,509,456,416,389,361,330,297,272,254,246
"장애유형별","자폐성",밀양시,70,69,54,47,45,39,33,31,31,28,27,23
"장애유형별","자폐성",거제시,278,253,216,176,155,139,119,110,101,87,75,66
"장애유형별","자폐성",양산시,384,326,282,252,210,187,167,150,119,99,78,74
"장애유형별","자폐성",의령군,12,13,9,7,6,7,6,7,8,6,8,9
"장애유형별","자폐성",함안군,67,62,51,48,44,43,39,37,33,30,31,32
"장애유형별","자폐성",창녕군,29,26,25,23,21,19,15,13,14,11,10,6
"장애유형별","자폐성",고성군,38,33,33,27,23,24,19,17,16,15,16,14
"장애유형별","자폐성",남해군,22,20,17,18,16,16,17,17,15,10,10,10
"장애유형별","자폐성",하동군,24,23,24,24,21,21,20,21,20,15,15,15
"장애유형별","자폐성",산청군,24,24,22,21,19,18,14,15,13,12,12,12
"장애유형별","자폐성",함양군,24,19,20,17,16,15,16,15,13,12,12,10
"장애유형별","자폐성",거창군,37,36,35,28,26,26,21,22,21,21,21,21
"장애유형별","자폐성",합천군,23,21,17,15,14,12,11,12,13,13,11,7
"장애유형별","정신장애",창원시,1971,1992,2029,2011,1995,1953,1948,1919,1922,1903,1893,1878
"장애유형별","정신장애",진주시,898,913,914,907,910,902,896,901,895,867,845,847
"장애유형별","정신장애",통영시,244,242,252,257,255,250,246,250,237,224,229,223
"장애유형별","정신장애",사천시,364,363,365,369,369,368,354,367,360,359,354,334
"장애유형별","정신장애",김해시,950,952,950,947,919,912,910,873,855,842,829,812
"장애유형별","정신장애",밀양시,375,377,388,383,382,382,372,381,374,364,361,360
