"행정구역(시군구)별",2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"고양시",1060081,1070120,1074907,1076535,1079353,1079216,1066351,1044189,1041983,1039684,1027546,1006154,990571,969916
"덕양구",485546,493097,496438,490088,482927,476962,466157,450449,448684,446233,441988,424423,410491,396559
"일산동구",296758,294123,291597,296122,298873,299716,297671,296223,293673,292612,285658,284207,283976,281949
"일산서구",277777,282900,286872,290325,297553,302538,302523,297517,299626,300839,299900,297524,296104,291408
"과천시",79908,85512,81000,78137,73345,63231,58289,58142,57527,63778,68946,70156,70578,71068
"구리시",186090,186882,187093,188701,191948,197454,199265,203553,200042,193763,186721,186820,189680,192341
"남양주시",729754,732482,732265,737353,733798,713321,701830,681828,665321,662154,653454,636256,618305,599539
"풍양출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-
"오산시",249410,242065,229656,229849,229983,229725,226379,220070,213437,208656,206828,208565,205460,200291
"시흥시",515032,518132,519715,512912,512030,500895,473682,448687,419664,402888,398256,394639,396765,399485
"군포시",251367,255931,261229,266213,268535,273791,275852,276916,281205,284890,287519,288408,286344,286841
"의왕시",160370,154488,158870,160221,163356,163795,161153,153932,155767,156763,157740,158482,159772,154757
"하남시",327939,329120,329861,326059,320087,293452,272455,254415,232487,211101,166713,148896,145096,146269
"용인시",1091186,1085864,1075566,1074971,1077508,1074176,1059609,1035126,1004081,991126,975746,961026,941477,915959
"처인구",282044,274162,261488,259288,260198,257498,253896,249118,231553,226130,221347,218400,212904,210524
"기흥구",435048,436351,436656,438235,441742,440835,436679,427719,419429,417163,409162,402206,393172,375875
"수지구",374094,375351,377422,377448,375568,375843,369034,358289,353099,347833,345237,340420,335401,329560
"파주시",526005,511308,497753,495315,483245,465617,454040,451848,437848,430781,423321,411348,401718,394201
"이천시",222967,222443,222098,222721,223177,218388,215834,214206,213142,210359,204935,205014,205479,204917
"안성시",196592,193949,189034,188842,189534,187012,183405,183579,182786,182896,180199,181896,182173,181608
"김포시",484792,486853,486172,484267,486508,473970,437221,423170,392092,363443,349990,340310,312305,287432
"화성시",989969,968821,944342,910814,887015,855248,815396,758722,691086,640890,596525,540862,530251,525490
"화성시동부출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-
"화성시동탄출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-
"광주시",397346,397605,391377,391462,387289,382054,372654,363782,345947,327723,312579,298858,286699,275656
"양주시",296224,289005,268026,243432,236368,230359,222314,216951,212146,205513,205184,202072,199143,200310
"포천시",140452,141463,143323,146701,148939,147274,148379,150676,152925,154763,155192,155798,156603,157559
"여주시",114002,114610,114412,113150,112150,111897,111083,111525,111984,111563,111033,110386,109343,-
"여주군",-,-,-,-,-,-,-,-,-,-,-,-,-,109550
"연천군",42340,40866,41584,42062,42721,43516,43824,44633,45431,45907,45725,45363,45610,45599
"가평군",62125,62527,62302,62150,62264,62377,62415,62918,62973,62448,62008,61213,61017,60794
"양평군",126933,126804,125238,122323,121230,118810,116874,116095,115105,111367,108316,105379,103620,102193
"강원특별자치도",1508500,1517766,1527807,1536498,1538492,1542840,1541502,1543052,1550142,1550806,1549507,1544442,1542263,1538630
"춘천시",285234,286069,286426,286664,284594,282765,281291,280640,280514,280707,277997,275791,274455,273364
"원주시",363194,362164,361503,360807,357757,354376,349215,344070,341337,337979,332995,327292,324837,323885
"강릉시",206237,207731,209439,211381,212965,213321,213442,212957,213952,213846,214560,215807,216806,217741
"동해시",86333,87675,88625,89426,90081,90593,90522,91272,92851,93297,93895,94562,95143,93897
"태백시",37088,37936,38702,39428,40844,42719,43866,44858,45888,47070,47501,48258,48794,49493
"속초시",79636,80933,82054,82806,82791,82665,81786,81682,82273,81793,81992,82432,83109,83579
"삼척시",60518,61735,62651,63455,63429,65243,67228,68326,68514,69599,70839,72314,73023,72463
"홍천군",66109,66717,67309,67977,68365,69242,69150,69949,70340,70076,70336,70451,70638,69727
"횡성군",45627,46111,46359,46532,46481,46472,46575,46726,46281,45991,45777,45373,44937,44615
"영월군",36054,36721,37332,37728,37904,38662,39127,39730,40067,40073,40216,40191,40150,40155
"평창군",39831,40396,40659,40990,40996,41681,42106,42610,43092,43318,43500,43660,43666,43627
"정선군",34879,33515,34202,34931,35675,36870,37271,37700,38173,38718,39197,39425,39985,39915
"철원군",39979,40497,41448,42256,43340,44699,45584,46413,47185,48013,48799,47590,47473,47968
"화천군",22371,22922,23007,23388,24195,24857,24917,25084,26022,26264,27020,27143,25079,25020
"양구군",20410,20621,21056,21383,21748,22278,22764,23408,23835,24010,24089,23888,23594,22799
"인제군",30863,31535,32020,32206,32165,31694,31672,32136,32582,32720,33255,32475,32517,32456
"고성군",26845,26999,27305,27274,27249,26757,27260,28144,30029,30114,30060,30269,30398,30124
"양양군",27292,27489,27710,27866,27913,27946,27726,27347,27207,27218,27479,27521,27659,27802
"충청북도",1596502,1591177,1593469,1595058,1597427,1600837,1600007,1599252,1594432,1591625,1583952,1578933,1572732,1565628
"청주시",856152,854537,852189,849573,848482,844993,839566,837749,835590,835197,831912,831521,672904,666852
"상당구",194551,197952,200575,196425,193827,190034,178352,176818,171129,173701,176424,179792,246128,240433
"서원구",182689,181621,186302,191273,192899,194720,203209,209404,216782,217120,220045,224727,-,-
"흥덕구",292051,285838,274594,268051,267429,265866,262137,254302,253912,253563,253426,252027,426776,426419
"청원구",186861,189126,190718,193824,194327,194373,195868,197225,193767,190813,182017,174975,-,-
"충주시",206540,207241,207778,208277,209358,210186,210737,210504,208316,208350,207913,208527,208115,208447
"제천시",128003,128569,130194,130988,131591,133018,134617,135386,136432,136517,136138,136805,137204,137521
"청원군",-,-,-,-,-,-,-,-,-,-,-,-,155002,154780
"보은군",30529,30527,31010,31455,31878,32412,32949,33680,34053,34221,34296,34240,34318,34438
"옥천군",49601,48204,48891,49520,50093,50527,51023,51465,51766,52267,52404,52469,52763,53244
"영동군",43032,43551,44195,44956,45773,47475,48738,49715,50240,50552,50693,50803,50539,50663
"증평군",36680,37171,37484,37262,36426,36807,37392,37317,37783,37308,36671,34771,34546,34279
"진천군",86580,86537,86254,86147,85176,83718,81084,78218,73677,69950,67981,65174,64606,63458
"괴산군",38293,36252,36590,37055,38122,39393,39163,39133,39054,38973,38787,38351,38059,37713
"음성군",94280,91236,91183,92058,92197,93153,94982,95830,97306,97787,96396,95324,93505,92980
"단양군",26812,27352,27701,27767,28331,29155,29756,30255,30215,30503,30761,30948,31171,31253
"충청남도",2136753,2136574,2130119,2123037,2119257,2121029,2123709,2126282,2116770,2096727,2077649,2062273,2047631,2028777
"천안시",664322,659920,655959,657559,658486,658808,652258,646075,631531,617955,605776,598346,591089,581988
"동남구",262470,261172,256691,255647,255292,258009,259411,257978,255878,258919,261474,261768,260575,257908
"서북구",401852,398748,399268,401912,403194,400799,392847,388097,375653,359036,344302,336578,330514,324080
"공주시",99979,101285,102104,102571,103145,104545,106474,107581,108432,109931,111261,113621,116369,117298
"보령시",92117,93780,95772,97157,98408,100229,101114,101990,103198,103873,104754,104321,104938,105559
"아산시",359378,355014,345796,334539,324580,316129,314395,312822,311453,302929,297737,293954,287073,280490
"서산시",172438,174445,176011,176413,176645,175591,174690,174162,171678,170788,170099,167611,165837,163315
"논산시",106777,108529,110423,112617,114483,116675,118842,120230,122240,123213,124232,124784,125844,126653
"계룡시",45846,46540,46667,44475,43331,42822,42971,43731,43967,42634,41730,40552,40957,41550
"당진시",172564,171931,170302,168253,167092,166249,167042,167770,167439,166630,165122,162844,159615,155104
"금산군",48898,49615,50093,50092,50477,51413,52257,53222,53894,54612,54879,55166,55441,55715
"부여군",58377,59550,61046,62343,63774,65354,66740,68078,69086,70187,71143,71754,72547,73259
"서천군",47225,48204,49116,49964,50745,51866,52805,53922,55175,56012,56910,57713,58441,58920
"청양군",29986,29658,30168,30266,30440,30948,31717,32296,32837,32753,32485,32248,32155,32087
"홍성군",100557,99198,97524,98068,99324,100102,100423,101082,101570,99971,94553,91866,89704,88415
"예산군",78815,78772,78354,77385,76801,78084,79238,80083,80338,81339,83484,84919,85205,85876
"태안군",59474,60133,60784,61335,61526,62214,62743,63238,63932,63900,63484,62574,62416,62548
"전북특별자치도",1724856,1738690,1754757,1769607,1786855,1804104,1818917,1836832,1854607,1864791,1869711,1871560,1872965,1873341
"전주시",625437,635651,642727,651495,657269,657432,654394,651091,648964,651744,652282,652877,650082,648863
"완산구",316419,321910,327178,332573,335804,339718,338839,345065,359012,361845,365605,364872,363694,363986
"덕진구",309018,313741,315549,318922,321465,317714,315555,306026,289952,289899,286677,288005,286388,284877
"전주시효자출장소",-,-,-,0,-,0,-,-,-,-,-,-,-,-
"군산시",256291,258047,259980,262467,265304,267859,270131,272645,274997,277551,278398,278098,278319,278341
"익산시",267066,268001,270036,273697,278113,282276,287771,294062,300187,300479,302061,304117,306539,306469
"익산시함열출장소",-,-,-,0,-,0,-,-,-,-,-,-,-,-
"정읍시",101123,102127,103620,105081,106487,108508,110541,112169,113776,115173,115977,117183,118328,119392
"남원시",74272,75647,76781,77948,79431,80662,81441,82554,83281,84188,84856,85643,86460,87000
"김제시",81676,80635,81430,81455,80913,82450,83895,85331,86926,87782,88721,90108,91218,92317
"완주군",100444,99279,97827,92422,91142,91609,92220,94444,95975,95480,95303,90377,86978,86164
"진안군",24249,24161,24465,24550,24987,25394,25697,25963,26271,26069,26203,26474,26703,26963
"무주군",22787,23032,23251,23489,23748,24036,24303,24589,24809,24949,25220,25390,25398,25321
"장수군",20922,20663,20983,21336,21695,22085,22441,23221,23003,23628,23277,23335,23243,23191
"임실군",25259,25577,25956,26508,26730,27314,28902,30072,30162,30197,30271,29966,29739,29956
